cur_block_file_name,linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition,MyExps.thisRepN,MyExps.thisTrialN,MyExps.thisN,MyExps.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tInstr.started,tInstr.stopped,kTrial.keys,kTrial.corr,kTrial.started,kTrial.stopped,iTrial.started,iTrial.stopped,tTrial.started,tTrial.stopped,pTrial.started,pTrial.stopped,kTrial.rt,participant,session,date,expName,psychopyVersion,frameRate,
tBlock01.csv,stimuli/block_01_trial_008.png,stimuli\block_01_trial_008.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,8,0,-1,-1,0,0,0,0,0,0,21,21,8,,,slash,1,72.58768369304016,None,72.97938295750646,None,72.97938295750646,None,72.58768369304016,72.97938295750646,0.9158425337227527,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_035.png,stimuli\block_01_trial_035.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,3,0,-1,-1,0,0,0,0,0,0,22,22,35,,,z,1,73.53724909758603,None,73.93973508932686,None,73.93973508932686,None,73.53724909758603,73.92445364063315,0.8977431997627718,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_017.png,stimuli\block_01_trial_017.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,0,0,-1,-1,0,0,0,0,0,0,23,23,17,,,slash,1,74.47297503435402,None,74.87665418132383,None,74.87665418132383,75.4577196387254,74.47297503435402,74.85706113788183,1.2584936792991357,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_019.png,stimuli\block_01_trial_019.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,7,0,-1,-1,0,0,0,0,0,0,24,24,19,,,slash,1,75.77011901345395,None,76.21401051184512,75.77011901345395,76.21401051184512,76.75943763120449,75.77011901345395,76.21401051184512,1.2097759435710032,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_025.png,stimuli\block_01_trial_025.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,0,0,-1,-1,0,0,0,0,0,0,25,25,25,,,slash,0,77.02012052378268,None,77.42779145459644,None,77.42779145459644,None,77.02012052378268,77.41043708748475,0.9500894866359886,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_027.png,stimuli\block_01_trial_027.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,7,0,-1,-1,0,0,0,0,0,0,26,26,27,,,z,0,78.0169741432619,None,78.41481022789958,None,78.41481022789958,78.99502575100632,78.0169741432619,78.41481022789958,1.2528367642808007,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_006.png,stimuli\block_01_trial_006.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,6,0,-1,-1,0,0,0,0,0,0,27,27,6,,,slash,1,79.3148713959963,None,79.7130605186394,79.3148713959963,79.7130605186394,80.31941973387438,79.3148713959963,79.69644469952618,1.0561840177542763,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_014.png,stimuli\block_01_trial_014.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,8,0,-1,-1,0,0,0,0,0,0,28,28,14,,,z,1,80.40688669556403,None,None,None,None,None,80.40688669556403,None,0.04780247995222453,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_023.png,stimuli\block_01_trial_023.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,1,0,-1,-1,0,0,0,0,0,0,29,29,23,,,z,1,80.49712812069629,None,80.92948301641445,None,80.92948301641445,81.48124065487355,80.49712812069629,80.8815967135306,1.21675854465866,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_005.png,stimuli\block_01_trial_005.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,2,0,-1,-1,0,0,0,0,0,0,30,30,5,,,slash,1,81.75265250487428,None,82.1518977209198,None,82.1518977209198,82.73251008140505,81.75265250487428,82.13193427074293,1.163902901331312,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_004.png,stimuli\block_01_trial_004.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,C,slash,6,0,-1,-1,0,0,0,0,0,0,31,31,4,,,z,0,82.94686570207705,None,83.34990333931637,None,83.34990333931637,None,82.94686570207705,83.33484881666664,0.9053012339427369,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_011.png,stimuli\block_01_trial_011.png,0,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,D,z,2,0,-1,-1,0,0,0,0,0,0,32,32,11,,,z,1,83.89988672577601,None,84.30522118680528,85.18501721767825,84.30522118680528,84.88522677500441,83.89988672577601,84.28704935735732,1.5765529896743828,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_024.png,stimuli\block_01_trial_024.png,1,"[255, 0, 0]","[0, 0, 0]","[0, 255, 0]",-1,C,slash,4,0,-1,-1,0,0,0,0,0,0,33,33,24,,,slash,1,85.52965972421225,None,85.95114331455261,None,85.95114331455261,None,85.52965972421225,85.94110872816236,0.8878464303561486,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_015.png,stimuli\block_01_trial_015.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,6,0,-1,-1,0,0,0,0,0,0,34,34,15,,,z,1,86.49186011387792,None,86.87584124994464,None,86.87584124994464,None,86.49186011387792,86.87584124994464,0.9228338191605872,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
tBlock01.csv,stimuli/block_01_trial_033.png,stimuli\block_01_trial_033.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",-1,D,z,2,0,-1,-1,0,0,0,0,0,0,35,35,33,,,z,1,87.47214548941702,None,87.85627652505354,None,87.85627652505354,88.43922271222982,87.47214548941702,87.84217199559498,1.1402716315933503,0,001,2019_Jul_09_1822,popout_cindy,3.1.2,59.89032484193148,
