cur_block_file_name,linux_file_name,pc_file_name,distract_condition,target_color_condition,back_color_condition,distractor_color_condition,cue_condition,target_condition,correct_response,target_pos_index_condition,MyExps.thisRepN,MyExps.thisTrialN,MyExps.thisN,MyExps.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tInstr.started,tInstr.stopped,kTrial.keys,kTrial.corr,kTrial.rt,kTrial.started,kTrial.stopped,iTrial.started,iTrial.stopped,tTrial.started,tTrial.stopped,pTrial.started,pTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tBlock03.csv,stimuli/block_03_trial_105.png,stimuli\block_03_trial_105.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,8,0,-1,-1,0,0,0,0,2,0,21,21,33,,,z,1,1.2086549062805716,34.994710848652176,None,35.40291718898516,None,35.40291718898516,35.986435033453745,34.994710848652176,35.3855533823662,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_091.png,stimuli\block_03_trial_091.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,3,0,-1,-1,0,0,0,0,2,0,22,22,19,,,z,0,1.2894401987578021,36.229836054422776,None,36.63737105616019,37.522263672188274,36.63737105616019,37.22131518930837,36.229836054422776,36.620708039437886,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_077.png,stimuli\block_03_trial_077.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,2,0,-1,-1,0,0,0,0,2,0,23,23,5,,,None,0,,37.5500649438909,None,37.95575584117614,38.840151183336275,37.95575584117614,38.53976944918395,37.5500649438909,37.93873676579096,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_100.png,stimuli\block_03_trial_100.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,3,0,-1,-1,0,0,0,0,2,0,24,24,28,,,slash,0,0.7689073567744344,39.447643518447876,None,39.857854812638834,None,39.857854812638834,None,39.447643518447876,39.84121973690344,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_082.png,stimuli\block_03_trial_082.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,7,0,-1,-1,0,0,0,0,2,0,25,25,10,,,z,0,0.024569180342950858,40.25263098276628,None,None,None,None,None,40.25263098276628,None,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_081.png,stimuli\block_03_trial_081.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,3,0,-1,-1,0,0,0,0,2,0,26,26,9,,,z,1,1.1761040461569792,40.31868307379773,None,40.725489722244674,None,40.725489722244674,41.30916010934743,40.31868307379773,40.708434399115504,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_085.png,stimuli\block_03_trial_085.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,1,0,-1,-1,0,0,0,0,2,0,27,27,13,,,z,1,0.9455116974568227,41.52061402183608,None,41.92643027592567,None,41.92643027592567,None,41.52061402183608,41.90974309404555,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_088.png,stimuli\block_03_trial_088.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,5,0,-1,-1,0,0,0,0,2,0,28,28,16,,,slash,1,1.034427058941219,42.50328117683239,None,42.911099364151596,None,42.911099364151596,43.49519490718376,42.50328117683239,42.894243026079494,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_074.png,stimuli\block_03_trial_074.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,0,0,-1,-1,0,0,0,0,2,0,29,29,2,,,z,1,0.7682473456079606,43.57181246318214,None,43.97927723490284,None,43.97927723490284,None,43.57181246318214,43.9622015224013,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_086.png,stimuli\block_03_trial_086.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,4,0,-1,-1,0,0,0,0,2,0,30,30,14,,,slash,0,0.8859959070250625,44.37353196597542,None,44.780062225298025,None,44.780062225298025,None,44.37353196597542,44.76331425290846,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_092.png,stimuli\block_03_trial_092.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,7,0,-1,-1,0,0,0,0,2,0,31,31,20,,,z,0,0.8397875730588567,45.290817235800205,None,45.69754308195843,None,45.69754308195843,None,45.290817235800205,45.68100277899066,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_106.png,stimuli\block_03_trial_106.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,4,0,-1,-1,0,0,0,0,2,0,32,32,34,,,z,1,1.117610366854933,46.1614067148912,None,46.56493747261993,None,46.56493747261993,47.14943929256697,46.1614067148912,46.54797276886529,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_089.png,stimuli\block_03_trial_089.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,0,0,-1,-1,0,0,0,0,2,0,33,33,17,,,z,0,1.2696289136220003,47.309487471866305,None,47.716673588976846,None,47.716673588976846,48.3005909138883,47.309487471866305,47.699862183013465,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_099.png,stimuli\block_03_trial_099.png,0,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,D,z,2,0,-1,-1,0,0,0,0,2,0,34,34,27,,,slash,0,0.9816031324007781,48.612208318852936,None,49.01805855521525,48.612208318852936,49.01805855521525,49.60176481248345,48.612208318852936,49.0011519989057,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
tBlock03.csv,stimuli/block_03_trial_103.png,stimuli\block_03_trial_103.png,1,"[0, 255, 0]","[0, 0, 0]","[225, 0, 0]",1,C,slash,3,0,-1,-1,0,0,0,0,2,0,35,35,31,,,slash,1,1.0335994019114878,49.63002484480967,None,50.036001948305056,None,50.036001948305056,50.61935176933184,49.63002484480967,50.018913775653346,0,001,2019_Jul_09_1857,popout_cindy,3.1.2,59.83579519762634,
